full_name,level,family,label,eco_codes,canonical_pgn
Alekhine Defense,0,Alekhine Defense,Alekhine Defense,B02|B03|B04|B05,1. e4 Nf6
Balogh Variation,1,Alekhine Defense,Balogh Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4
Brooklyn Variation,1,Alekhine Defense,Brooklyn Variation,B02,1. e4 Nf6 2. e5 Ng8
Brooklyn Variation: Everglades Variation,2,Alekhine Defense,Everglades Variation,B02,1. e4 Nf6 2. e5 Ng8 3. d4 f5
Buckley Attack,1,Alekhine Defense,Buckley Attack,B02,1. e4 Nf6 2. e5 Nd5 3. Na3
Exchange Variation,1,Alekhine Defense,Exchange Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6
Exchange Variation: Karpov Variation,2,Alekhine Defense,Karpov Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. h3 Bg7 8. Nf3 O-O 9. Be2 Nc6 10. O-O Bf5 11. Bf4
Exchange Variation: Voronezh Variation,2,Alekhine Defense,Voronezh Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. Be3 Bg7 8. Rc1 O-O 9. b3
Four Pawns Attack,1,Alekhine Defense,Four Pawns Attack,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4
Four Pawns Attack: Cambridge Gambit,2,Alekhine Defense,Cambridge Gambit,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5
Four Pawns Attack: Fianchetto Variation,2,Alekhine Defense,Fianchetto Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6
Four Pawns Attack: Ilyin-Zhenevsky Variation,2,Alekhine Defense,Ilyin-Zhenevsky Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Nf3 Bg4 8. e6 fxe6 9. c5
Four Pawns Attack: Korchnoi Variation,2,Alekhine Defense,Korchnoi Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Nf3 Be7 9. Be2 O-O 10. O-O f6
Four Pawns Attack: Main Line,2,Alekhine Defense,Main Line,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3
Four Pawns Attack: Tartakower Variation,2,Alekhine Defense,Tartakower Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. O-O Be7
Four Pawns Attack: Trifunovic Variation,2,Alekhine Defense,Trifunovic Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 Bf5
Hunt Variation,1,Alekhine Defense,Hunt Variation,B02|B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. c5
Hunt Variation: Lasker Simul Gambit,2,Alekhine Defense,Lasker Simul Gambit,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3
Hunt Variation: Matsukevich Gambit,2,Alekhine Defense,Matsukevich Gambit,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5
Hunt Variation: Mikenas Gambit,2,Alekhine Defense,Mikenas Gambit,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6 7. Nxd5 exd5 8. Bxd5
Kmoch Variation,1,Alekhine Defense,Kmoch Variation,B02,1. e4 Nf6 2. e5 Nd5 3. Bc4 Nb6 4. Bb3 c5 5. d3
Krejcik Variation,1,Alekhine Defense,Krejcik Variation,B02,1. e4 Nf6 2. Bc4
Krejcik Variation: Krejcik Gambit,2,Alekhine Defense,Krejcik Gambit,B02,1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+
Maróczy Variation,1,Alekhine Defense,Maróczy Variation,B02,1. e4 Nf6 2. d3
Modern Variation,1,Alekhine Defense,Modern Variation,B03|B04|B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
Modern Variation: Alburt Variation,2,Alekhine Defense,Alburt Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6
Modern Variation: Alekhine Gambit,2,Alekhine Defense,Alekhine Gambit,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2
Modern Variation: Alekhine Variation,2,Alekhine Defense,Alekhine Variation,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4
Modern Variation: Flohr Variation,2,Alekhine Defense,Flohr Variation,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6
Modern Variation: Keres Variation,2,Alekhine Defense,Keres Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4
Modern Variation: Larsen Variation,2,Alekhine Defense,Larsen Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5
Modern Variation: Larsen-Haakert Variation,2,Alekhine Defense,Larsen-Haakert Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nc6
Modern Variation: Main Line,2,Alekhine Defense,Main Line,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4
Modern Variation: Panov Variation,2,Alekhine Defense,Panov Variation,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. h3
Modern Variation: Schmid Variation,2,Alekhine Defense,Schmid Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nb6
Modern Variation: Vitolins Attack,2,Alekhine Defense,Vitolins Attack,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4 Nb6 6. d5
Mokele Mbembe,1,Alekhine Defense,Mokele Mbembe,B02,1. e4 Nf6 2. e5 Ne4
Mokele Mbembe: Modern Line,2,Alekhine Defense,Modern Line,B02,1. e4 Nf6 2. e5 Ne4 3. d4 f6
Mokele Mbembe: Vavra Defense,2,Alekhine Defense,Vavra Defense,B02,1. e4 Nf6 2. e5 Ne4 3. d4 e6
Normal Variation,1,Alekhine Defense,Normal Variation,B02,1. e4 Nf6 2. e5 Nd5
O'Sullivan Gambit,1,Alekhine Defense,O'Sullivan Gambit,B03,1. e4 Nf6 2. e5 Nd5 3. d4 b5
Scandinavian Variation,1,Alekhine Defense,Scandinavian Variation,B02,1. e4 Nf6 2. Nc3 d5
Scandinavian Variation: Geschev Gambit,2,Alekhine Defense,Geschev Gambit,B02,1. e4 Nf6 2. Nc3 d5 3. exd5 c6
Scandinavian Variation: Myers Gambit,2,Alekhine Defense,Myers Gambit,B02,1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5
Spielmann Gambit,1,Alekhine Defense,Spielmann Gambit,B02,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6
Steiner Variation,1,Alekhine Defense,Steiner Variation,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3
Sämisch Attack,1,Alekhine Defense,Sämisch Attack,B02,1. e4 Nf6 2. e5 Nd5 3. Nc3
The Squirrel,1,Alekhine Defense,The Squirrel,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nf4
